qa_id,question,answer,context,is_question_valid,is_answer_correct
144809708238437939802566798291352749837,In what conference does the team compete?,Metro Atlantic Athletic Conference,"The Mount St. Mary's Mountaineers Basketball team is the basketball team that represents Mount St. Mary's University in Emmitsburg, Maryland. The school's team currently competes in the Metro Atlantic Athletic Conference. The team's last appearance in the ",1,1
112691814493762877187096199019415204680,How much did the construction cost?,$23,"location 1800 Genessee, Kansas City, MO 64102 Coordinates Template:Coord Broke ground July 17, 1972 opened September 30, 1974 owner City of Kansas City (MO) Operator Anschutz Entertainment Group Surface Artificial turf, ice, hardwood Construction cost $23 ",1,1
206261754991023295097816739385286622473,What is the name of the professional basketball team?,,college career 2 Professional career 2.1 NBA 2.2 Panathinaikos 3 Coaching career 3.1 Sacramento Kings 3.2 New Jersey Nets 3.3 New Orleans Hornets 3.4 Cleveland Cavaliers 3.5 Los Angeles Lakers 4 NBA career statistics 4.1 NBA 4.1.1 Regular season 4.1.2 Play,1,2
151220274313883732809732126461181244997,How many teams are in each group?,,"nt was called the In-Season Tournament. The format is a multi-stage tournament beginning with group play followed by single-elimination knockout rounds. Group play consists of three groups of five teams per conference, for a total of six groups. Each team ",1,2
28522781439663122794844284666694133560,What was the name of the Kansas City Attack/Comets team?,,ansas City Attack/Comets (NPSL/MISL) (1992-2005)Kansas City Explorers (WTT) (1993-2001)Kansas City Knights (ABA) (2000-2002)Kansas City Outlaws (UHL) (2004-2005)Kansas City Brigade (AFL) (2006-2007)1988 NCAA Men's Division I Basketball Tournament seating_c,1,2
233282099921050241083527264355003277936,Who was the team president?,Donnie Walsh,"uns forward-center Amar'e Stoudemire came to an agreement on July 5, 2010. The sign and trade deal was made official on July 8 as Stoudemire agreed to an approximately $100 million contract over the span of five years. Team president Donnie Walsh stated th",1,1
304122623739787583971771629888726913747,Who did they trade to the Golden State Warriors for?,David Lee,"nnie Walsh stated the signing of Stoudemire as a turning point for the future of a Knicks team that had struggled in recent years.The Knicks then traded David Lee to the Golden State Warriors for Anthony Randolph, Kelenna Azubuike and Ronny Turiaf. Point g",1,2
328263031435522512035384102545187204523,Where will the semifinals and championship game be played?,Las Vegas,"her seed in a conference, the tie will be broken following the tiebreaker protocol described below. The semifinals and championship game will be played in Las Vegas. The championship game does not count as a regular season game. For the 2023 tournament, pl",1,1
134475589802264776272780885191046809871,What is the name of Tyler Robert Lydon?,,"This article related to Basketball is short. PLEASE do expand it! Tyler Robert Lydon (born April 9, 1996) is an American professional basketball player for the Rio Grande Valley Vipers of the NBA G League on assignment from the Denver Nuggets of the NBA. H",1,1
267309048309913096525289826953293406875,When did Stojakovic move to Greece?,1993," FR Yugoslav national cup tournament. With Red Star, he played in a total of 39 games, in which he scored a total of 113 points, for a scoring average of 2.9 points per game. PAOK Thessaloniki (1993-1998)[] Stojakovic moved to Greece in 1993, at the age of",1,1
314186649795833878659592455859210705012,In what year did he miss 16 games due to injury?,2004-05,"e NBA in free-throw percentage (.933) and three-pointers made for the season (240). In 2004-05, he missed 16 games to injury, and was somewhat hampered in several games, but still averaged 20.1 ppg. Stojakovic's number 16 was retired by the Sacramento King",1,1
7124659435699321723181381503810532683,What college did he play for?,Texas Southern,nior power forward and played for Texas Southern. Contents 1 Key 2 Winners 3 Winners by school 4 Footnotes 5,1,1
123778335710740020320783173926647444840,What team won the NBA championship?,apolis Lakers,"apolis Lakers winning the NBA championship, beating the Syracuse Nationals 4 games to 2 in the NBA Finals. Contents 1 Notable occurrences 2 Final standings 2.1 Eastern Division 2.2 Central Division 2.3 Western Division 3 Statistics leaders 4 NBA awards 5",1,1
82751860220175967312821264756828068321,What is the name of the basketball hall of fame?,Naismith,nament 2.2 NIT 3 Traditions 4 Notable History 4.1 Upsets of #1's and unbeatens 5 Coaches 5.1 All-time coaching records 5.2 Coaching awards 6 Players 6.1 Naismith Basketball Hall of Fame 7 Fighting Irish in the NBA 8,1,1
271268660944212279463188157264120116881,Brunson was a selection to what team?,,"ss of 2015's junior season. In addition to high ratings by the recruiting services, Brunson's peers voted him to be the best passer in high school basketball prior to his senior season. College career[] Freshman season[] Brunson was a selection to the 20-m",1,1
230234321286726013599725095115835674023,[2] What is the name of the answer to the question?,,[2],1,
231220388668215200446199009250701269307,What was his NBA career?,,n State University. He was drafted by the Cleveland Cavaliers with the 25th overall pick in the 2006 NBA Draft. Contents 1 High school and college career 2 Professional career 2.1 Cleveland Cavaliers (2006-2008) 2.2 Chicago Bulls (2008) 2.3 Charlotte Bobca,1,1
11949513861425426671585057944637235999,Who drafted him with the 25th overall pick in the 2006 NBA Draft?,Cleveland Cavaliers,n State University. He was drafted by the Cleveland Cavaliers with the 25th overall pick in the 2006 NBA Draft. Contents 1 High school and college career 2 Professional career 2.1 Cleveland Cavaliers (2006-2008) 2.2 Chicago Bulls (2008) 2.3 Charlotte Bobca,1,1
146322492347453744609456421282803453735,Where did Stephenson attend high school?,Abraham Lincoln High School,"ip game. The following week, Stephenson did not return to classes at Bishop Loughlin, and was attending Abraham Lincoln High School near his home in Coney Island. National Basketball Association players Stephon Marbury, Sebastian Telfair, and future Seton ",1,1
325718388954471477578165719685062545866,Who was Brown's former assistant coach?,Hubie Brown,"d round of the playoffs by the Nets, Brown gave McCarthy his walking papers. For the 1974-75, Brown hired Hubie Brown (no relation), a former NBA assistant coach, to give them that championship. Unlike the past year, the Colonels would not be denied. After",1,1
334293632335226373789747331003186627051,Who did Anthony want to join the Houston Rockets?,,"to internal conflicts. Anthony intended to join the Houston Rockets, with a three-way trade with the Portland Trail Blazers set up involving Ryan Anderson. Anderson's three-year, $60 million contract was not feasibly able to be absorbed by either franchise",1,2
142197150840851742936803871372570768143,For what team did he play college basketball?,Georgetown Hoyas,"ound (120 kg) center, Mutombo moved to the United States from the Democratic Republic of the Congo at age 21 to play college basketball for the Georgetown Hoyas. In 1991, the Denver Nuggets chose him with the fourth overall pick of the NBA draft. During hi",1,1
52924440807849359834859306921131682858,Who won the NABC Player of the Year?,,". Wooden Award, the NABC Player of the Year, CBS Sports National Player of the Year, the Bob Cousy Award, and Sporting News Player of the Year. Brunson was a second-team Academic All-America selection. Brunson was named Most Outstanding Player of the East ",1,1
121874922390495314259448762817707300674,What team did Anderson sign a 10-day contract with in 2022?,Indiana Pacers,"ds, 2.9 assists, and 1.0 steals in 33.8 minutes per contest. Cleveland Cavaliers (2021)[] On December 21, 2021, Anderson signed a 10-day contract with the Cleveland Cavaliers. Indiana Pacers (2022)[] On January 1, 2022, Anderson signed a 10-day contract wi",1,1
310546520138324863199102405693686253397,Who was the second player to win a Slam Dunk Contest?,Michael Jordan," Slam Dunk Contests in 2002 and 2003, being the second player after Michael Jordan to do so. Contents 1 Professional career 1.1 Golden State Warriors 1.2 Charlotte Bobcats 1.3 Phoenix Suns 1.3.1 Legal Problems off the Court 2 Awards and Accomplishments 3 C",1,2
285114289384495498114762456416237309713,When did Stephenson sign with the Indiana Pacers?,"rch 30, 2017","rch 30, 2017, Stephenson signed with the Indiana Pacers, returning to the franchise for a second stint. On June 25, 2018, the Pacers declined their team option on Stephenson's contract, thus parting ways with him for a second time. Los Angeles Lakers (2018",1,1
93913409393250287343735521724701085888,What was the date of Brown's marriage to Brown?,"January 21, 2011","and Brown were married in a secret ceremony at their Los Angeles home. The marriage, however, did not become a matter of public record until January 21, 2011, when Brown told the Hip-Hop Non-Stop TV-Show. The couple had a second wedding ceremony for family",1,2
63148092028426927732848817986404786041,What was Joe Mullaney's job title?,coach,"rail Blazers of the NBA, respectively. The Colonels then sold Roche to the New York Nets. Gilmore, like Issel, signed a contract for ten years and $1.5 million. Joe Mullaney was named coach of the Colonels. On September 22, 1971 the Colonels played in the ",1,1
164376624381053492358067397904952147218,How many seats are in the arena at Hofheinz Pavilion?,"8,479","nz Pavilion, often known as simply Hofheinz Pavilion, is an 8,479-seat multi-purpose arena on the University of Houston campus in Houston, Texas. Located at 3875 Holman Street, it is home to the University of Houston Cougars men's and women's basketball te",1,1
223333283795444727589675440105729522798,What was his nickname?,Mt. Mutombo,"ced his retirement on April 23, 2009, after 18 seasons in the NBA. Player profile[] The 7 ft 2 in (2.18 m) 260 lb (120 kg) Mutombo played center, where he was regarded as one of the top inside defenders of all time. Nicknamed ""Mt. Mutombo"", his combination",1,1
73852856377553238528769382003613607642,What is the name of the regular season?,6,tatistics 5.1 Regular season 6,1,2
95283616765429141192071348899735209377,What color are the away uniforms?,blue,"llin. From the beginning, the Knicks home uniforms are in white with blue and orange trim, while the away uniforms are in blue with orange and white trim. The first iterations contain monotone lettering in blue (home) and orange (away) lettering, with the ",1,2
208241474138454812727779778143721966078,What has been used for other purposes?,,been used for other purposes such as UH graduation ceremonies and area high school commencements. It has also hosted many concerts by famous artists. The Summit took over for much of these purposes in the city after its construction in 1975. Contents 1 His,1,2
41343195539588217685455819763580985592,How many games did the Kentucky Colonels lose to the New York Nets in the Eastern Division semifinals?,4 games to 2,"ge home attendance was 8,811. Kentucky's remarkable season came to a surprising end when the Colonels lost in the Eastern Division semifinals to the New York Nets, 4 games to 2. 1972-1973[] Prior to the season the Colonels traded Cincy Powell to the Utah S",1,1
17866457041431331604827112344440051465,Which logo was added to the shorts product?,,"name below the number, both in maroon with navy trim and in a stylized, free-flowing font. Navy away uniforms continue to feature the city name but below the white and maroon number. The interlocking 'NY' logo debuted on the shorts, with the addition of pl",1,1
2971835633822719070377005087686358480,How old was Mutombo when he died?,58,"t for a brain tumor. He died in Atlanta from brain cancer surrounded by his family on September 30, 2024, at the age of 58. Humanitarian work[] A well-known humanitarian, Mutombo started the Dikembe Mutombo Foundation to improve living conditions in his na",1,1
218762043945294968516248869455303452838,When did he die?,"September 30, 2024","t for a brain tumor. He died in Atlanta from brain cancer surrounded by his family on September 30, 2024, at the age of 58. Humanitarian work[] A well-known humanitarian, Mutombo started the Dikembe Mutombo Foundation to improve living conditions in his na",1,1
4799220776951655048654661041362055003,Where does the en's Basketball Team play their home games?,Daniel-Meyer Coliseum,"en's Basketball Team plays their home games in Daniel-Meyer Coliseum on the campus of TCU. Women's Basketball[] The Lady Frogs sported their first women's basketball team in the 1977-78 season, in which TCU boasted a 5-18 record. The Lady Frogs improved si",1,1
188481418640766405208841731898774019693,What is the name of the state that is located in the East Bay?,,e East Bay Cal State Los Angeles Cal State Monterey Bay Cal State San Bernardino Cal State San Marcos Cal State Stanislaus Cameron Carson-Newman Catawba Central Missouri Central Oklahoma Central State Central Washington Chadron State Chaminade Charleston (,1,2
51127252127928634681261117587868358531,What was his professional career?,,"ller. Contents 1 Early life 2 Professional career 2.1 Cleveland Cavaliers (2012-2014) 2.2 Boston Celtics (2014-2017) 2.3 Brooklyn Nets (2017-2018) 2.4 Milwaukee Bucks (2018-present) Early life[] Born in Visalia, California, Tyler Zeller grew up in Washingt",1,1
242393841225120556468936086965554988228,How many rebounds did he have?,8,"raged 17 points, 8 rebounds and 6 assists in the tournament. His team ultimately lost to Serbia in the quarter-finals, 95-90. Personal life[] Giddey's sister, Hannah, played forward for two years for the Oral Roberts Golden Eagles, and then played the 2022",1,1
210624224070981795784999182006791679993,Where is the college located?,,uth Minnesota State-Mankato Minnesota State-Moorhead Minot State Mississippi College Missouri - St. Louis Missouri S&T Missouri Southern Missouri Western Molloy Montana State Billings Montevallo Morehouse (men's basketball only) Mount Olive N[] Nebraska-Ke,1,2
118558119476768931060990092069855199510,What year was Giddey accused of having improper relations with a 15 year old girl?,2023,"then played the 2022-23 season for Southern Nazarene University in Bethany, Oklahoma. In November 2023, Giddey was accused of having improper relations with a 15 year old girl with videos and photos posted as evidence. The Newport Beach Police department w",1,2
261777006366370490178510888421076881900,What year was Sidney Alvin Moncrief born?,1957,"Sidney Alvin Moncrief (born September 21, 1957) is an American former professional basketball player. As an NCAA college basketball player from 1975 to 1979, Moncrief played for the University of Arkansas Razorbacks, leading them to the 1978 Final Four and",1,1
285199283482135831478724199050043161868,"What is the abbreviation ""St.?""",,"town Point Loma Nazarene Post Purdue Northwest Q[] Queens (NY) Quincy R[] Regis Roberts Wesleyan Rockhurst Rogers State Rollins S[] In this list, the abbreviation ""St."" is alphabetized as if it were spelled out as ""Saint"". Saginaw Valley State St. Andrews ",1,2
65429048982162970456200819528196110412,How many times has UNLV won the NCAA tournament?,33-15,"to eventual champion Kansas. UNLV is the third-winningest program by percentage (.713) in Division I history -- ranking behind Kentucky and North Carolina and ahead of Kansas, Duke and UCLA. UNLV is 33-15 all-time in the NCAA tournament with a .688 winning",1,1
186582325382808403528393860350167444623,"What is the adage ""alw""?",,"ter era (2010-present) 1.6 Uniforms Franchise history[] Early success (1997-2002)[] Prior to the team's first season, to avoid potential trademark infringement, the team purchased the trademarks of the defunct Liberty Basketball Association. The adage ""alw",1,2
317304679887240590301209076404404427504,What was added to delineate Division I schools that do not field a football program?,,"ubsequently the term ""Division I-AAA"" was added to delineate Division I schools which do not field a football program at all. In 2006, Divisions I-A and I-AA were respectively renamed the Football Bowl Subdivision (FBS) and Football Championship Subdivisio",1,2
29263358175958348229957260987347942412,What is the name of the American professional basketball player?,Dylan Garrity,"Dylan Garrity (born June 2, 1992) is an American professional basketball player.",1,1
59772260897901818739725456306834007189,What was Don Nelson's answer to the question at the end of the game?,,"the conference semifinals, after coach Don Nelson unsuccessfully contested Milwaukee's 99-98 Game 7 loss for two hours and sixteen minutes, while questioning if Philadelphia got away with a 24 second violation at the end of the game. The following year, in",1,2
152299575023659037836752259063225106422,What is the name of the former professional basketball player who played for the United States Basketball League?,Jamario Raman Moon,"Jamario Raman Moon (born June 13, 1980) is an American former professional basketball player. He played college basketball for one season at Meridian Community College and began his professional career with teams in the United States Basketball League and ",1,1
241348486610367369162656977618873923859,When did the Liberty play at Madison Square Garden?,,"ations at Madison Square Garden beginning in 2009. The renovation plans were delayed and the Liberty played at the Garden in 2009 and 2010. The renovation has been rescheduled, so the Liberty will play in the Prudential Center in Newark, New Jersey in 2011",1,2
168965654328137631193478806215081302492,When did Parsons sign with the Dallas Mavericks?,July 15," from the Dallas Mavericks. The Rockets declined to match the offer and Parsons signed with the Mavericks on July 15. On December 17, 2014, Parsons scored a season-high 32 points against the Detroit Pistons. On March 8, 2015, Parsons returned to action aga",1,1
139211538013833107460034652285683889920,Who did Elliott receive a kidney from?,Noel,"hampionship run, Elliott announced that he had played despite having a kidney disease, focal segmental glomerular sclerosis, and that he would require a transplant. He underwent surgery on August 16 of that year, receiving a kidney from his brother, Noel. ",1,1
205010799781502132744576866266618913350,What was the record of the Bucks in the regular season?,59-23,"nd back injuries the previous Saturday night at a Baltimore airport. Despite again finding regular season success at a record of 59-23, after the Bucks eliminated Michael Jordan and the Chicago Bulls in the first round with a 3-1 series record, Moncrief an",1,1
39669648542714743652340447492149472110,What is big-on-its-home-er-stage.html?,,big-on-its-home-er-stage.html. Retrieved 10 November 2011.,1,2
273337547468752313150057645328476901522,Who won the NBA championship game?,Team LeBron,"was played on March 7, 2021 at State Farm Arena in Atlanta, and was won by Team LeBron, 170-150. The playoffs are tentatively scheduled to run under the standard 16-team playoff format between May 22 and July 22, 2021. Due to COVID-19 cross-border restrict",1,1
