qa_id,question,answer,context,is_question_valid,is_answer_correct
192461202688583768003117224802381952032,Head Logo Write the text of your article here!,,Head Logo Write the text of your article here!,1,2
282017885198154953211373783399526561510,What uses well timed footwork in coordination with a tightening of grip?,, 3.4 Backhand Drop Smash[] Quarter Smash[] A low power smash intended to apply pressure. This smash utilizes well timed footwork in coordination with a tightening of grip. It requires little to no movement and can be used in most any position. Due to not r,1,1
39569843546314652705526392038293247177,What is the name of the Japanese sports equiment manufacturer?,"Yonex Logo Yonex Co., Ltd.","Yonex Logo Yonex Co., Ltd. (yonetsukusuZhu Shi Hui She ) is a Japanese sports equiment manufacturer. They produce badminton rackets, shuttlecocks, and bags. They also produce tennis, golf, and running equipment. Contents 1 History 2 Products 3 Rackets 3.1 ",1,2
216897019935722682946522807038243955102,What was the name of the unique development by SOTX?,,unique development by SOTX. Contents 1 History 2 Technology 3 Rackets 4 Apparel 5 Shuttlecocks 6,1,2
275228297864063328325306006940818137929,What is another name for a high smash on the backhand side?,Backhand Smash,"t handed players can preform this with an inside smash on the forehand, or an outside smash on the backhand. Backhand Smash[] A high smash on the backhand side. Clear[] High Clear[] A primarily defensive shot used to give a player time to get back to the c",1,1
244654284549076904281118021551303662036,Pushes and drives travel flat and rapidly over the net into the opponents' rear midcourt and what else?,rearcourt,"drives, which travel flat and rapidly over the net into the opponents' rear midcourt and rearcourt. Pushes may also be hit flatter, placing the shuttlecock into the front midcourt. Drives and pushes may be played from the midcourt or forecourt, and are mos",1,1
179680956594519975675340218043271617970,What isometric 9 Long Muscle Power?,,uper Isometric 9 Long Muscle Power[] Muscle Power 100 Muscle Power 99 Muscle Power 88 Muscle Power 77 Muscle Power 66 Muscle Power 55 Muscle Power 44 Muscle Power 33 Muscle Power 29 Muscle Power 23 Muscle Power 22 Nanospeed[] Nanospeed 9900 Nanospeed 9000 ,1,2
119047901411100827908010181246380392858,How is badminton played?,using racquets to hit a shuttlecock across a net,Template:Short description Template:About Template:Pp-semi-indef Template:Pp-move-indef Template:Use dmy dates Template:Infobox sport Badminton is a racquet sport played using racquets to hit a shuttlecock across a net. Although it may be played with large,1,1
182691779557035232915586271180438328490,Players may choose between a variety of what?,grip,The choice of grip allows a player to increase the thickness of their racquet handle and choose a comfortable surface to hold. A player may build up the handle with one or several grips before applying the final layer. Players may choose between a variety ,1,1
8285962545015349846128276810874313421,What is a shuttlecock?,a feathered or (in informal matches) plastic projec,"the net. Play ends once the shuttlecock has struck the floor or ground, or if a fault has been called by the umpire, service judge, or (in their absence) the opposing side.Template:Sfnp The shuttlecock is a feathered or (in informal matches) plastic projec",1,1
77796649710374566228562603930873851716,How many titles did the BWF International Challenge/Series have?,5,"][3] Contents 1 Career 2 Achievements 2.1 Pan American Games 2.2 Pan Am Championships 2.3 Pan Am Junior Championships 2.4 BWF International Challenge/Series (5 titles, 3 runners-up) 3",1,1
